07:18 CYCLE1 71 rows, 15 common-stock crossers, 0 armable
07:26 CYCLE2 70 rows, NEW: none
07:30 CYCLE3 70 rows, NEW: none
07:35 CYCLE4 73 rows, NEW: ANF pct=+10.7 last=120.50 prev=108.90 | RVSN pct=+10.5 last=5.79 prev=5.24 | TH pct=+10.2 last=19.17 prev=17.39
07:40 CYCLE5 73 rows, NEW: LBGJ pct=+10.8 last=3.27 prev=2.95
07:45 CYCLE6 73 rows, NEW: CRE pct=+145.7 last=6.32 prev=2.57
07:50 CYCLE7 71 rows, NEW: none
07:55 CYCLE8 73 rows, NEW: SOGP pct=+21.3 last=15.00 prev=12.37 | SMMT pct=+10.3 last=14.74 prev=13.36
08:00 CYCLE9 72 rows, NEW: none
08:05 CYCLE10 72 rows, NEW: none
08:10 CYCLE11 72 rows, NEW: none
08:15 CYCLE12 73 rows, NEW: none
08:20 CYCLE13 71 rows, NEW: none
08:26 CYCLE14 73 rows, NEW: EEIQ pct=+16.0 last=2.79 prev=2.41
08:31 CYCLE15 73 rows, NEW: MIMI pct=+16.5 last=2.19 prev=1.88
08:36 CYCLE16 71 rows, NEW: none
08:41 CYCLE17 73 rows, NEW: none
08:46 CYCLE18 73 rows, NEW: ZJYL pct=+11.9 last=3.10 prev=2.77
08:51 CYCLE19 74 rows, NEW: VSA pct=+10.6 last=3.74 prev=3.38
08:56 CYCLE20 73 rows, NEW: none
09:01 CYCLE21 73 rows, NEW: none
09:06 CYCLE22 74 rows, NEW: none
09:11 CYCLE23 74 rows, NEW: none
09:16 CYCLE24 74 rows, NEW: MSS pct=+42.6 last=2.11 prev=1.48
09:21 CYCLE25 73 rows, NEW: none
09:26 CYCLE26 76 rows, NEW: ADXN pct=+13.6 last=4.43 prev=3.90 | CISS pct=+12.0 last=2.99 prev=2.67
09:32 CYCLE27 30 rows, NEW: STFS pct=+15.4 last=4.73 prev=4.10 | BZ pct=+10.3 last=17.97 prev=16.29
09:37 CYCLE28 20 rows, NEW: none
09:42 CYCLE29 17 rows, NEW: OLOX pct=+36.7 last=2.03 prev=1.49
09:47 CYCLE30 24 rows, NEW: FTCI pct=+12.1 last=2.23 prev=1.99
09:52 CYCLE31 28 rows, NEW: JXG pct=+13.3 last=8.85 prev=7.81 | TTMI pct=+10.9 last=124.50 prev=112.30 | NVNO pct=+10.6 last=11.95 prev=10.80 | XOS pct=+10.4 last=3.89 prev=3.52
09:57 CYCLE32 22 rows, NEW: none
10:02 CYCLE33 25 rows, NEW: FVN pct=+10.4 last=10.41 prev=9.43
10:07 CYCLE34 27 rows, NEW: OPTX pct=+13.0 last=8.86 prev=7.84 | CMMB pct=+11.5 last=2.57 prev=2.30 | ZYME pct=+11.1 last=30.52 prev=27.47 | QMLS pct=+10.3 last=6.92 prev=6.27
10:12 CYCLE35 29 rows, NEW: none
10:17 CYCLE36 29 rows, NEW: SONM pct=+14.9 last=3.75 prev=3.27
10:22 CYCLE37 27 rows, NEW: WBTN pct=+10.6 last=10.46 prev=9.45
10:28 CYCLE38 23 rows, NEW: none
10:33 CYCLE39 26 rows, NEW: none
10:38 CYCLE40 27 rows, NEW: AKTX pct=+15.8 last=9.11 prev=7.87
10:43 CYCLE41 27 rows, NEW: none
10:48 CYCLE42 26 rows, NEW: none
