n_days,mean_ic,t,frac_pos,ci_lo,ci_hi,ic_y2025,ic_year,n_y2025,n_year,dt,target,feature,p,q_bh,ctl_bar,s0,s1,s2,s3,s4,s5,s6,survives
444,-0.0873309,-8.89474,0.313063,-0.106732,-0.0686003,-0.100254,-0.0773027,194,250,07:30,fwd30,coil,1.4994e-17,4.75115e-17,0.0138413,True,True,True,True,True,True,False,False
444,0.0873309,8.89474,0.684685,0.0686003,0.106732,0.100254,0.0773027,194,250,07:30,fwd30,dist_sess_high_pct,1.4994e-17,4.75115e-17,0.0138413,True,True,True,True,True,True,False,False
444,-0.0532332,-5.5233,0.376126,-0.0718682,-0.0344383,-0.0867409,-0.0272312,194,250,07:30,fwd30,dist_high60,5.68138e-08,1.1953e-07,0.0138413,True,True,True,True,False,True,False,False
444,-0.19971,-20.9816,0.15991,-0.218111,-0.180968,-0.206447,-0.194482,194,250,07:30,fwd30,gain_now,2.24963e-68,2.17576e-67,0.0138413,True,True,True,True,True,True,True,True
444,-0.107535,-10.5262,0.301802,-0.127165,-0.0876835,-0.106554,-0.108296,194,250,07:30,fwd30,pm_gain,2.81666e-23,1.02252e-22,0.0138413,True,True,True,True,True,True,True,True
444,-0.115017,-11.7945,0.279279,-0.133856,-0.0959576,-0.113528,-0.116173,194,250,07:30,fwd30,gap7,4.12981e-28,1.66219e-27,0.0138413,True,True,True,True,True,True,True,True
438,-0.0817011,-6.04615,0.358447,-0.108154,-0.0552092,-0.0984112,-0.0690176,189,249,07:30,fwd30,pressure30,3.18506e-09,7.11696e-09,0.0138413,True,True,True,True,True,True,True,True
444,-0.0751278,-7.75383,0.342342,-0.0939041,-0.0561207,-0.0835156,-0.0686188,194,250,07:30,fwd30,pressure30_nv,6.17579e-14,1.75522e-13,0.0138413,True,True,True,True,True,True,True,True
444,-0.0657586,-6.81973,0.364865,-0.0848225,-0.0471448,-0.0703064,-0.0622294,194,250,07:30,fwd30,pressure30_bc,3.00091e-11,7.45053e-11,0.0138413,True,True,True,True,True,True,True,True
444,-0.0875247,-9.29181,0.304054,-0.105912,-0.0690054,-0.103552,-0.0750872,194,250,07:30,fwd30,pressure30_t,6.902e-19,2.27608e-18,0.0138413,True,True,True,True,True,True,True,True
444,-0.0939842,-9.92368,0.306306,-0.112267,-0.0761336,-0.116724,-0.0763379,194,250,07:30,fwd30,pressure10,4.3087e-21,1.5011e-20,0.0138413,True,True,True,True,True,True,True,True
444,-0.133898,-14.5513,0.263514,-0.151859,-0.115728,-0.137618,-0.131012,194,250,07:30,fwd30,log_dvol,1.74087e-39,8.91765e-39,0.0138413,True,True,True,True,True,True,True,True
444,-0.0779412,-7.84845,0.351351,-0.0970955,-0.058635,-0.0870725,-0.0708554,194,250,07:30,fwd30,n_bars,3.19438e-14,9.13888e-14,0.0138413,True,True,True,True,True,True,True,True
444,0.0983648,10.5196,0.691441,0.0798128,0.116939,0.0994493,0.0975232,194,250,07:30,fwd30,stale_min,2.9789e-23,1.07839e-22,0.0138413,True,True,True,True,True,True,True,True
444,0.119306,12.6311,0.738739,0.100797,0.138026,0.120431,0.118433,194,250,07:30,fwd30,no_trade_share,1.88492e-31,8.0357e-31,0.0138413,True,True,True,True,True,True,True,True
444,0.142147,13.2317,0.736486,0.120866,0.163213,0.156678,0.130871,194,250,07:30,fwd30,amihud,6.48876e-34,2.8998e-33,0.0138413,True,True,True,True,True,True,True,True
444,-0.117938,-9.80011,0.315315,-0.141525,-0.0935282,-0.121503,-0.115171,194,250,07:30,fwd30,corwin_schultz,1.18212e-20,4.09634e-20,0.0138413,True,True,True,True,True,True,True,True
444,0.0548112,4.33733,0.574324,0.0297689,0.0795443,0.0635771,0.0480088,194,250,07:30,fwd30,abdi_ranaldo,1.78757e-05,3.18227e-05,0.0138413,True,True,True,True,True,True,False,False
444,0.044709,3.7711,0.574324,0.0216415,0.0680189,0.0580653,0.0343446,194,250,07:30,fwd30,roll,0.000184577,0.000301654,0.0138413,True,True,True,True,True,True,True,True
444,-0.128322,-12.5624,0.27027,-0.148492,-0.108083,-0.125833,-0.130253,194,250,07:30,fwd30,bar_range,3.57808e-31,1.51542e-30,0.0138413,True,True,True,True,True,True,True,True
444,-0.0326008,-3.50094,0.445946,-0.050966,-0.0144977,-0.0393293,-0.0273795,194,250,07:30,fwd30,log_price,0.000510617,0.00080506,0.0138413,True,True,True,True,True,True,True,True
444,-0.0184028,-1.97902,0.463964,-0.0365907,0.000114488,-0.0154389,-0.0207027,194,250,07:30,fwd30,atr_pct,0.0484324,0.0634666,0.0138413,True,False,False,True,True,False,True,False
444,0.0180953,1.69816,0.529279,-0.00233831,0.0387384,0.00172204,0.0308009,194,250,07:30,fwd30,mins_since_cross,0.0901799,0.114245,0.0138413,True,False,False,True,False,False,False,False
444,-0.0704871,-7.18368,0.349099,-0.0894464,-0.0511683,-0.0838746,-0.0600984,194,250,07:30,fwd30,close_pos,2.89326e-12,7.6368e-12,0.0138413,True,True,True,True,True,True,False,False
444,0.0138413,1.52109,0.513514,-0.00387852,0.0319362,0.0273671,0.00334535,194,250,07:30,fwd30,ctl_tickerhash,0.12895,0.159465,0.0138413,True,False,False,False,False,False,False,False
444,0.00956269,0.99606,0.529279,-0.0089327,0.0288252,0.00404666,0.0138431,194,250,07:30,fwd30,ctl_random,0.319765,0.366739,0.0138413,True,False,False,False,False,False,False,False
