n_days,mean_ic,t,frac_pos,ci_lo,ci_hi,ic_y2025,ic_year,n_y2025,n_year,dt,target,feature,p,q_bh,ctl_bar,s0,s1,s2,s3,s4,s5,s6,survives
444,0.0368163,4.91864,0.583333,0.0220649,0.0516904,0.045304,0.0302299,194,250,09:35,fwd30,coil,1.23039e-06,3.37478e-06,0.0112304,True,True,True,True,True,True,True,True
444,-0.0368163,-4.91864,0.416667,-0.0516904,-0.0220649,-0.045304,-0.0302299,194,250,09:35,fwd30,dist_sess_high_pct,1.23039e-06,3.37478e-06,0.0112304,True,True,True,True,True,True,True,True
444,0.0266938,3.34963,0.545045,0.0108745,0.0424012,0.0249078,0.0280797,194,250,09:35,fwd30,dist_high60,0.000878392,0.00180698,0.0112304,True,True,True,True,True,True,True,True
444,-0.0536552,-7.30558,0.358108,-0.0681208,-0.038936,-0.07224,-0.0392335,194,250,09:35,fwd30,gain_now,1.2948e-12,4.7403e-12,0.0112304,True,True,True,True,True,True,True,True
444,0.00660304,0.789909,0.522523,-0.00941991,0.0229793,0.00682907,0.00642765,194,250,09:35,fwd30,pm_gain,0.430004,0.50789,0.0112304,True,False,False,False,True,False,True,False
444,0.00345049,0.419317,0.502252,-0.0122183,0.0194214,0.00393218,0.0030767,194,250,09:35,fwd30,gap7,0.675188,0.7375,0.0112304,True,False,False,False,True,False,True,False
444,0.00743641,0.818091,0.515766,-0.00995172,0.0249448,-0.00935612,0.0204674,194,250,09:35,fwd30,pressure30,0.413745,0.491038,0.0112304,True,False,False,False,False,False,False,False
444,-0.0077837,-1.01459,0.488739,-0.0228118,0.00684834,-0.0194375,0.00125962,194,250,09:35,fwd30,pressure30_nv,0.310856,0.387561,0.0112304,True,False,False,False,False,False,False,False
444,-0.0126026,-1.88255,0.475225,-0.0258006,0.000115404,-0.0163414,-0.00970119,194,250,09:35,fwd30,pressure30_bc,0.060417,0.0930486,0.0112304,True,False,False,True,True,False,False,False
444,-0.0102424,-1.3617,0.495495,-0.0249114,0.00430557,-0.0238412,0.000310172,194,250,09:35,fwd30,pressure30_t,0.173984,0.237475,0.0112304,True,False,False,False,False,False,False,False
444,-0.00701121,-0.919684,0.504505,-0.0219432,0.00758667,-0.0189284,0.00223648,194,250,09:35,fwd30,pressure10,0.358238,0.435941,0.0112304,True,False,False,False,False,False,False,False
444,-0.0286905,-3.96642,0.425676,-0.042569,-0.0143404,-0.0327869,-0.0255117,194,250,09:35,fwd30,log_dvol,8.50672e-05,0.000193926,0.0112304,True,True,True,True,True,True,True,True
444,-0.0257288,-3.35886,0.452703,-0.0404095,-0.010674,-0.043754,-0.0117412,194,250,09:35,fwd30,n_bars,0.000850274,0.00175331,0.0112304,True,True,True,True,False,True,True,False
440,-0.0143258,-2.11485,0.425,-0.0276776,-0.00123782,-0.0174666,-0.0118488,194,246,09:35,fwd30,stale_min,0.0350059,0.0573911,0.0112304,True,True,False,True,True,False,False,False
444,0.0384294,5.26408,0.594595,0.0240364,0.0524616,0.0518662,0.0280023,194,250,09:35,fwd30,no_trade_share,2.20078e-07,6.42389e-07,0.0112304,True,True,True,True,True,True,True,True
444,0.0460962,5.2602,0.594595,0.0285536,0.0631834,0.0449971,0.046949,194,250,09:35,fwd30,amihud,2.24489e-07,6.53058e-07,0.0112304,True,True,True,True,True,True,True,True
444,-0.118769,-13.0493,0.261261,-0.136843,-0.100745,-0.149244,-0.0951208,194,250,09:35,fwd30,corwin_schultz,3.67698e-33,2.26922e-32,0.0112304,True,True,True,True,True,True,True,True
444,-0.0236951,-2.52879,0.425676,-0.0417576,-0.00560112,-0.0170425,-0.0288574,194,250,09:35,fwd30,abdi_ranaldo,0.0117919,0.0214039,0.0112304,True,True,True,True,True,True,True,True
444,-0.0116114,-1.31526,0.448198,-0.0286314,0.00575794,-0.00371519,-0.0177388,194,250,09:35,fwd30,roll,0.189101,0.256087,0.0112304,True,False,False,True,False,False,False,False
444,-0.110454,-13.4984,0.259009,-0.126552,-0.0942325,-0.12675,-0.0978084,194,250,09:35,fwd30,bar_range,5.04729e-35,3.27884e-34,0.0112304,True,True,True,True,True,True,True,True
444,-0.00812417,-1.12568,0.488739,-0.0226984,0.00597536,-0.016194,-0.00186194,194,250,09:35,fwd30,log_price,0.260911,0.335457,0.0112304,True,False,False,False,False,False,False,False
444,-0.118382,-15.314,0.222973,-0.133924,-0.103568,-0.129253,-0.109946,194,250,09:35,fwd30,atr_pct,8.63583e-43,6.54505e-42,0.0112304,True,True,True,True,True,True,True,True
444,-0.00904461,-1.3074,0.497748,-0.0224847,0.00472354,-0.00970782,-0.00852997,194,250,09:35,fwd30,mins_since_cross,0.191754,0.258287,0.0112304,True,False,False,False,True,False,True,False
444,-0.0453256,-6.24235,0.376126,-0.0594801,-0.0308589,-0.0625641,-0.0319485,194,250,09:35,fwd30,close_pos,1.00995e-09,3.23185e-09,0.0112304,True,True,True,True,True,True,True,True
444,-0.00330907,-0.471092,0.5,-0.0168971,0.0105712,-0.00941383,0.00142822,194,250,09:35,fwd30,ctl_tickerhash,0.637807,0.706494,0.0112304,True,False,False,False,False,False,False,False
444,-0.0112304,-1.61838,0.463964,-0.0247854,0.00256113,-0.0070064,-0.0145083,194,250,09:35,fwd30,ctl_random,0.106292,0.15313,0.0112304,True,False,False,False,True,False,False,False
444,0.0256578,3.45355,0.560811,0.0111459,0.0403153,0.0257995,0.0255479,194,250,09:35,fwd30,c37_rank_score,0.00060646,0.00126565,0.0112304,True,True,True,True,True,True,True,True
444,0.0451273,5.8843,0.653153,0.0303177,0.0598747,0.0514072,0.0402541,194,250,09:35,fwd60,coil,7.89398e-09,2.41858e-08,0.0163592,True,True,True,True,True,True,True,True
444,-0.0451273,-5.8843,0.346847,-0.0598747,-0.0303177,-0.0514072,-0.0402541,194,250,09:35,fwd60,dist_sess_high_pct,7.89398e-09,2.41858e-08,0.0163592,True,True,True,True,True,True,True,True
444,0.0390461,5.03829,0.578829,0.0240628,0.0540525,0.0377017,0.0400893,194,250,09:35,fwd60,dist_high60,6.8529e-07,1.91615e-06,0.0163592,True,True,True,True,True,True,True,True
444,-0.0541823,-7.23798,0.367117,-0.069083,-0.039421,-0.077353,-0.0362019,194,250,09:35,fwd60,gain_now,2.02484e-12,7.28943e-12,0.0163592,True,True,True,True,True,True,True,True
